Cód Suc;Desc;Precio;Costo;Ganancia_$;Margen_%
664;TAPA PASC MIX DE SEMILLAS ORAL;2899,99;1960,009;939,981;32,41
665;PIONONO ORALI;2799,99;1776,688;1023,302;36,55
668;CERV BLEST SCOTCH X 355 CC;2799,99;2156,862;643,128;22,97
671;ANANA GLASEADO;49999,9;30845,998;19153,902;38,31
672;CREMOSO ESF X 1/2 HORMA;6799,99;5619,676;1180,314;17,36
675;MANI CON CHOCOLATE;3749,99;2586,166;1163,824;31,04
676;PASA DE UVA CON CHOCOLATE;3899,99;2698,606;1201,384;30,8
680;QUESO BRIE;34999,99;20038,533;14961,457;42,75
689;MANI JAPONES;7999,9;4865,867;3134,033;39,18
700;JAMON CRUDO PROMO X 100 GRS;21499,9;11174,399;10325,501;48,03
701;PANC AHUMADA EST SAN FRANCISCO;29999,9;15460,81;14539,09;48,46
702;SALAMIN FINO EST SAN FRANCI;29999,9;15458,615;14541,285;48,47
707;PAPAS C/PIMIENTA NUEST SABORES;1359,99;825,44;534,55;39,31
710;SALAMIN GRUESO EST SAN FRAN;29999,9;15458,615;14541,285;48,47
712;NUEZ CON CASCARA;11599,9;7043,62;4556,28;39,28
716;LONGANIZA EST SAN FRANCISCO;29999,9;15332,935;14666,965;48,89
734;LECHE LS DESC LARGA VIDA;1899,99;1655,797;244,193;12,85
736;PATEGRAS SAB. PIMIENTA;26599,99;17147,17;9452,82;35,54
741;QUESO CREMA PAULINA;2999,99;2114,82;885,17;29,51
742;QUESO CREMA LIGHT PAULINA;2999,99;2114,82;885,17;29,51
745;TARTELETAS CHICAS PUPPIS;5459,99;3755,84;1704,15;31,21
750;TABLA SAN FRANCISCO CHICA;34999,99;11200;23799,99;68
753;PATEGRAS SAB. AHUMADO;26599,99;17147,17;9452,82;35,54
754;TABLA CRIOLLA CHICA;26999,99;9160;17839,99;66,07
759;TABLA IBERICA CHICA;33999,99;11900;22099,99;65
761;PATEGRAS SAB. AJI;26599,99;17147,17;9452,82;35,54
762;TABLA DE QUESOS CHICA;34999,99;12100;22899,99;65,43
765;TABLA SAN FRANCISCO MEDIANA;45999,99;15400;30599,99;66,52
767;SALAME DE CERDO CAMPO AUSTRAL;24999,99;13906,608;11093,382;44,37
782;TABLA CHACARERA CHICA;30999,99;10470;20529,99;66,23
785;PALETA OFERTA X 1/4;4399,96;2587,962;1811,998;41,18
795;PALETA LAMBARE X 100 GRS;4999,9;2587,962;2411,938;48,24
796;TABLA ITALIANA MEDIANA;59999,99;21500;38499,99;64,17
802;QUESO MORBIER CON CENIZA;52999,9;11319,233;41680,667;78,64
803;TABLA TRADICIONAL CHICA;29999,99;10300;19699,99;65,67
806;CHORIZO SECO DE PURO CERDO;33999,99;21095,556;12904,434;37,95
807;PROMO 20;5699,99;3893,325;1806,665;31,7
808;TABLA TRADICIONAL MEDIANA;41999,99;24899;17100,99;40,72
809;TABLA TRADICIONAL GRANDE;77999,99;27900;50099,99;64,23
811;BARRA CON OREGANO;21199,9;12138,628;9061,272;42,74
814;TARTELETAS MEDIANAS PUPPIS;5499,99;3695,747;1804,243;32,8
819;TABLA IBERICA MEDIANA;45999,99;16300;29699,99;64,57
822;VINO TRUMPETER MALBEC X 750;8099,99;6234,518;1865,472;23,03
826;TABLA DE QUESOS MEDIANA;47999,99;16999;31000,99;64,59
829;TAPA EMP SIN TACC ORALI;2799,99;1558,779;1241,211;44,33
835;MERM DIET FRUT ROJ C MICO;8199,99;5479,548;2720,442;33,18
836;TABLA SAN FRANCISCO GRANDE;83999,99;28600;55399,99;65,95
837;TABLA CRIOLLA GRANDE;67999,99;23999;44000,99;64,71
845;CERV BLEST PILSEN LATA;2999,99;2338,374;661,616;22,05
847;SALAME A LAS FINAS HIERBAS;29499,99;16730,108;12769,882;43,29
848;PIZZETAS COPETIN ADSER;1949,99;1343,534;606,456;31,1
